num,title
1078,Tourism Analysis
1129,Yugoslav Journal of Operations Research
172,Economies
187,Energy research and social science
361,International Journal of Electrical Engineering Education
959,Small Enterprise Research
651,"Journal of International Accounting, Auditing and Taxation"
686,Journal of Marketing Channels
1061,The Journal of the Acoustical Society of America
108,China Economic Review
1125,World Review of Intermodal Transportation Research
486,International Review of Public Administration
275,Human Performance
956,Service Business
957,Services Marketing Quarterly
838,Meditari Accountancy Research
709,Journal of Personnel Psychology
310,Innovation and Development
874,Polish Journal of Management Studies
271,Higher Education
633,Journal of Indian Business Research
681,Journal of Managerial Issues
639,"Journal of Industry, Competition and Trade"
64,Asian Education and Development Studies
254,Geoforum
115,Clean Technologies and Environmental Policy
740,Journal of Small Business Strategy
1089,"Transforming Government: People, Process and Policy"
520,Journal of Applied Social Psychology
116,Clothing and Textiles Research Journal
514,Journal of Airport Management
606,Journal of Financial Economic Policy
648,Journal of Interactive Advertising
334,International Journal of Business Governance and Ethics
292,Iimb Management Review
753,Journal of Systems Science and Information
599,Journal of European Real Estate Research
349,International Journal of Cross Cultural Management
465,International Journal of Technology
316,Interfaces
936,Review of applied socio-economic research
789,Knowledge and Process Management
